customer_id,customer_number,first_name,last_name,full_name,gender,date_of_birth,email,phone_number,street_address,city,state_province,postal_code,country_code,country_name,region,preferred_language,customer_segment,loyalty_tier,registration_date,acquisition_year,customer_type,is_active,source_system,created_at,updated_at
14c06b94-472e-4d26-8361-231ad540d49d,CUST-2019-PL-000109,Justyna,Stroka,Justyna Stroka,Male,1951-12-29,justyna.stroka@msn.com,721 745 811,plac Krańcowa 770,Kraśnik,Oświęcim,81-068,PL,Poland,EMEA,Polish,Consumer,None,2019-12-26,2019,RETURNING,True,MDM,2019-12-26,2026-04-17 15:58:40.711305
143a2156-56c9-48ce-8682-a7014530491b,CUST-2019-PL-000031,Maurycy,Draus,Maurycy Draus,Female,2001-01-15,maurycy.draus@zoho.com,+48 536 277 058,al. Wypoczynkowa 33/02,Radom,Bełchatów,66-445,PL,Poland,EMEA,Polish,Business,Silver,2019-05-11,2019,RETURNING,True,MDM,2019-05-11,2026-04-17 15:58:40.711312
3321b17b-97da-468d-9708-548c6a33d0e1,CUST-2021-PL-000075,Alex,Glica,Alex Glica,Male,1969-11-07,alex.glica@gmail.com,+48 32 497 87 64,ulica Jałowcowa 03,Knurów,Chełm,97-147,PL,Poland,EMEA,Polish,Consumer,Silver,2021-03-01,2021,RETURNING,True,MDM,2021-03-01 00:00:00,2026-04-17 15:58:40.711314
ecc3caa7-b202-4df2-add5-d3dc0ee54321,CUST-2020-PL-000031,Marcel,Garbaciak,Marcel Garbaciak,Female,1958-05-21,marcel.garbaciak209@gmx.com,+48 725 513 070,pl. Źródlana 578,Żary,Oleśnica,32-985,PL,Poland,EMEA,Polish,Consumer,None,2020-02-28,2020,RETURNING,True,MDM,2020-02-28 00:00:00,2026-04-17 15:58:40.711316
92e4c784-dceb-47c6-bfa2-26c53c2479ae,CUST-2021-PL-000015,Piotr,Hein,Piotr Hein,Female,1985-10-05,piotr.hein918@protonmail.com,664 880 961,plac Ptasia 174,Szczecinek,Jaworzno,10-634,PL,Poland,EMEA,Polish,Consumer,Platinum,2021-09-04,2021,RETURNING,False,MDM,2021-09-04 00:00:00,2026-04-17 15:58:40.711318
f3149e7c-c23e-405b-a87b-75167b32f39c,CUST-2021-PL-000047,Rozalia,Szatko,Rozalia Szatko,Male,1997-08-05,rozalia.szatko@protonmail.com,539 654 320,pl. Pocztowa 32,Ełk,Biłgoraj,77-881,PL,Poland,EMEA,Polish,Business,Silver,2021-11-10,2021,RETURNING,True,MDM,2021-11-10 00:00:00,2026-04-17 15:58:40.711320
cddec549-cf70-4584-9e1b-6360b21dd05e,CUST-2021-PL-000064,Arkadiusz,Pędrak,Arkadiusz Pędrak,Male,1976-08-22,arkadiusz.pdrak98@aol.com,+48 504 862 276,pl. Kaliska 22,Lębork,Sochaczew,42-842,PL,Poland,EMEA,Polish,Education,Silver,2021-03-26,2021,RETURNING,False,MDM,2021-03-26 00:00:00,2026-04-17 15:58:40.711322
2ab8705c-91bf-4d9c-a86a-513a83e61f65,CUST-2019-PL-000139,Elżbieta,Kwak,Elżbieta Kwak,Female,1956-02-01,elbieta.kwak504@hotmail.com,517 972 549,plac Glówna 27/23,Jelenia Góra,Lubartów,25-648,PL,Poland,EMEA,Polish,Consumer,None,2019-10-14,2019,RETURNING,True,MDM,2019-10-14,2026-04-17 15:58:40.711324
890866da-77d7-46aa-baad-52fd960af485,CUST-2019-PL-000040,Klara,Karpik,Klara Karpik,Female,1992-08-24,klara.karpik758@mail.com,726 536 528,plac Bema 50/32,Krotoszyn,Będzin,44-617,PL,Poland,EMEA,Polish,Consumer,None,2019-11-01,2019,RETURNING,True,MDM,2019-11-01,2026-04-17 15:58:40.711326
0af1459f-92b3-404e-8789-3007f36f738b,CUST-2020-PL-000072,Apolonia,Dyszy,Apolonia Dyszy,Female,1992-05-26,apolonia.dyszy@yahoo.com,32 764 85 10,aleja Kraszewskiego 267,Kościan,Zawiercie,92-331,PL,Poland,EMEA,Polish,Consumer,Platinum,2020-03-28,2020,RETURNING,True,MDM,2020-03-28 00:00:00,2026-04-17 15:58:40.711327
0c3b5394-668c-48cb-8220-a63dfa95c35f,CUST-2021-PL-000072,Olaf,Dulewicz,Olaf Dulewicz,Male,1953-05-23,olaf.dulewicz@hotmail.com,604 980 167,al. Asnyka 81/06,Radomsko,Piła,42-646,PL,Poland,EMEA,Polish,Education,Silver,2021-04-27,2021,RETURNING,True,MDM,2021-04-27 00:00:00,2026-04-17 15:58:40.711329
3553a1b0-2eb3-45d3-8943-e049d3b7e1b7,CUST-2021-PL-000044,Ida,Ferdyn,Ida Ferdyn,Male,2006-05-27,ida.ferdyn@gmail.com,+48 797 705 279,pl. Sienkiewicza 344,Kętrzyn,Chorzów,94-581,PL,Poland,EMEA,Polish,Consumer,None,2021-07-03,2021,RETURNING,True,MDM,2021-07-03 00:00:00,2026-04-17 15:58:40.711331
c53fffb4-f455-4806-8d28-a6e5aaf24df1,CUST-2019-PL-000108,Kalina,Kaczan,Kalina Kaczan,Male,2003-05-14,kalina.kaczan@icloud.com,+48 536 293 819,ul. Chmielna 66,Rybnik,Jelenia Góra,06-222,PL,Poland,EMEA,Polish,Business,None,2019-05-27,2019,RETURNING,True,MDM,2019-05-27,2026-04-17 15:58:40.711333
82347610-3422-44c4-ac0e-18bf9f95c65a,CUST-2020-PL-000061,Marek,Dylak,Marek Dylak,Male,1991-05-07,marek.dylak555@aol.com,532 216 986,ulica Klasztorna 77,Łódź,Łomża,44-785,PL,Poland,EMEA,Polish,Business,None,2020-05-22,2020,RETURNING,True,MDM,2020-05-22 00:00:00,2026-04-17 15:58:40.711335
7d196d92-c3dc-4d85-8460-7cc181097ad8,CUST-2019-PL-000197,Grzegorz,Prokopczyk,Grzegorz Prokopczyk,Male,1961-04-24,grzegorz.prokopczyk@aol.com,+48 533 598 605,pl. Jana Pawła II 55/58,Bielsko-Biała,Świdnik,96-863,PL,Poland,EMEA,Polish,Business,None,2019-12-20,2019,RETURNING,True,MDM,2019-12-20,2026-04-17 15:58:40.711337
7fe9097b-9f19-4087-80d4-ea9d8be93819,CUST-2021-PL-000012,Kornel,Oleksak,Kornel Oleksak,Male,1979-06-08,kornel.oleksak@mail.com,697 028 401,aleja Morcinka 85/79,Chorzów,Wodzisław Śląski,73-343,PL,Poland,EMEA,Polish,Consumer,Platinum,2021-04-06,2021,RETURNING,True,MDM,2021-04-06 00:00:00,2026-04-17 15:58:40.711338
7b190459-afb8-45bb-a33a-6dbfac883184,CUST-2019-PL-000166,Robert,Kanik,Robert Kanik,Female,1952-11-27,robert.kanik@aol.com,+48 695 238 805,plac Matejki 20/89,Bochnia,Biała Podlaska,40-181,PL,Poland,EMEA,Polish,Consumer,None,2019-07-04,2019,RETURNING,True,MDM,2019-07-04,2026-04-17 15:58:40.711340
b6760f1e-7b62-46be-896d-320aefa7ca27,CUST-2019-PL-000117,Cezary,Ziółko,Cezary Ziółko,Male,1983-06-26,cezary.ziko@live.com,+48 506 580 444,plac Browarna 60/04,Kluczbork,Zamość,62-982,PL,Poland,EMEA,Polish,Education,None,2019-12-17,2019,RETURNING,True,MDM,2019-12-17,2026-04-17 15:58:40.711342
7c5ddfee-d243-486d-85bc-be21fc092929,CUST-2021-PL-000063,Natasza,Trzpil,Natasza Trzpil,Male,2000-02-28,natasza.trzpil285@msn.com,+48 729 184 663,al. Polna 80,Kalisz,Włocławek,56-727,PL,Poland,EMEA,Polish,Consumer,Gold,2021-06-16,2021,RETURNING,True,MDM,2021-06-16 00:00:00,2026-04-17 15:58:40.711343
803e881c-3da0-4248-9987-b3c3fe9b52cb,CUST-2019-PL-000187,Tola,Morys,Tola Morys,Female,1987-04-15,tola.morys@hotmail.com,514 638 977,al. Długa 551,Lębork,Knurów,84-877,PL,Poland,EMEA,Polish,Consumer,None,2019-08-27,2019,RETURNING,True,MDM,2019-08-27,2026-04-17 15:58:40.711345
097e0981-a2e8-4b01-8145-b1473fd4e176,CUST-2019-PL-000041,Tymon,Wikło,Tymon Wikło,Female,1957-12-24,tymon.wiko591@aol.com,606 878 375,pl. Kołłątaja 45/91,Iława,Sopot,44-506,PL,Poland,EMEA,Polish,Consumer,None,2019-03-23,2019,RETURNING,True,MDM,2019-03-23,2026-04-17 15:58:40.711347
13ad39a1-fb23-4625-b55f-95dfc4668206,CUST-2021-PL-000034,Tymoteusz,Kapcia,Tymoteusz Kapcia,Male,1958-03-11,tymoteusz.kapcia699@gmail.com,+48 571 495 054,ulica Szymanowskiego 58,Jaworzno,Chełm,34-230,PL,Poland,EMEA,Polish,Consumer,None,2021-02-04,2021,RETURNING,True,MDM,2021-02-04 00:00:00,2026-04-17 15:58:40.711349
afdee009-fa47-4506-bc7d-c478c1c5fdb2,CUST-2021-PL-000007,Jacek,Juras,Jacek Juras,Female,1985-09-24,jacek.juras858@protonmail.com,574 409 909,plac Wróblewskiego 01/65,Turek,Chełm,20-997,PL,Poland,EMEA,Polish,Consumer,Silver,2021-12-31,2021,RETURNING,True,MDM,2021-12-31 00:00:00,2026-04-17 15:58:40.711350
f519aa0a-1c97-456f-84f4-c432f8734670,CUST-2020-PL-000024,Miłosz,Wałek,Miłosz Wałek,Male,1955-02-06,miosz.waek620@icloud.com,+48 787 195 924,al. Wiklinowa 89,Oleśnica,Nysa,32-982,PL,Poland,EMEA,Polish,Consumer,None,2020-09-08,2020,RETURNING,True,MDM,2020-09-08 00:00:00,2026-04-17 15:58:40.711352
85a12b84-f824-428c-98fe-f9c69dff24a7,CUST-2019-PL-000019,Eryk,Szafarz,Eryk Szafarz,Male,1990-11-24,eryk.szafarz@gmail.com,+48 503 406 671,plac Prosta 53,Rybnik,Wałcz,18-865,PL,Poland,EMEA,Polish,Education,Gold,2019-04-21,2019,RETURNING,False,MDM,2019-04-21,2026-04-17 15:58:40.711353
