customer_id,customer_number,first_name,last_name,full_name,gender,date_of_birth,email,phone_number,street_address,city,state_province,postal_code,country_code,country_name,region,preferred_language,customer_segment,loyalty_tier,registration_date,acquisition_year,customer_type,is_active,source_system,created_at,updated_at
34285e3f-f27f-4d23-9628-07ab60aabe5d,CUST-2019-SG-000310,Louis,Donovan,Louis Donovan,Female,1981-02-18,louis.donovan643@gmail.com,001-920-698-8609x9506,942 Ryan Ranch,Jonathantown,Nebraska,47584,SG,Singapore,APAC,English,Consumer,None,2019-06-21,2019,RETURNING,True,MDM,2019-06-21,2026-04-17 15:58:44.207887
f4da5309-2d55-480f-bcc9-01516c22fae6,CUST-2020-SG-000052,Gary,Lara,Gary Lara,Female,1983-06-06,gary.lara@live.com,673.627.6992x6541,95165 Jenny Islands,Lake Andrewfurt,New Jersey,57870,SG,Singapore,APAC,English,Consumer,None,2020-04-26,2020,RETURNING,True,MDM,2020-04-26 00:00:00,2026-04-17 15:58:44.207894
659d2d8d-fb7c-48db-9d20-367dd3ca42cf,CUST-2022-SG-000016,Paul,Simpson,Paul Simpson,Male,1972-04-16,paul.simpson@zoho.com,(324)904-1139,8393 Lucas Greens Suite 501,West Carrie,Oregon,29746,SG,Singapore,APAC,English,Consumer,Gold,2022-11-24,2022,RETURNING,True,MDM,2022-11-24 00:00:00,2026-04-17 15:58:44.207896
94761b00-b6d4-4297-98f1-2eef7c20825f,CUST-2019-SG-000262,Alexis,Sanders,Alexis Sanders,Male,1984-06-22,alexis.sanders366@protonmail.com,928-374-9992,45101 Nicholas Corners Suite 696,East Anne,Arizona,86794,SG,Singapore,APAC,English,Consumer,Platinum,2019-10-28,2019,RETURNING,True,MDM,2019-10-28,2026-04-17 15:58:44.207898
3872346e-5296-457c-b338-54a6d0f6de6e,CUST-2020-SG-000087,Cory,Jackson,Cory Jackson,Male,1991-02-02,cory.jackson@live.com,929.540.2718x209,60197 Jenkins Key Apt. 325,East Ashley,Utah,67892,SG,Singapore,APAC,English,Consumer,Platinum,2020-11-08,2020,RETURNING,False,MDM,2020-11-08 00:00:00,2026-04-17 15:58:44.207899
658cff54-1ea6-466e-b1b2-8430d6d57f44,CUST-2020-SG-000032,Stephen,Patrick,Stephen Patrick,Female,1982-04-19,stephen.patrick@aol.com,448.389.6654x8959,94680 Allen Trail,Port Laura,Hawaii,11095,SG,Singapore,APAC,English,Consumer,None,2020-07-09,2020,RETURNING,True,MDM,2020-07-09 00:00:00,2026-04-17 15:58:44.207901
7e9ba5b1-51cf-4c6e-aa0b-9607330a61da,CUST-2019-SG-000184,Dominique,Moon,Dominique Moon,Female,1999-08-06,dominique.moon261@icloud.com,001-849-854-9190,64518 Holly Valley Apt. 474,Allenbury,North Dakota,79128,SG,Singapore,APAC,English,Business,Platinum,2019-08-20,2019,RETURNING,True,MDM,2019-08-20,2026-04-17 15:58:44.207903
30e7c2e3-822f-4991-968c-5b2d6d7b0b0c,CUST-2022-SG-000045,Jo,Thomas,Jo Thomas,Female,1963-08-12,jo.thomas498@aol.com,+1-381-399-0635x3229,9304 Debbie Rapids,Michaelville,Massachusetts,63014,SG,Singapore,APAC,English,Consumer,Platinum,2022-03-02,2022,RETURNING,True,MDM,2022-03-02 00:00:00,2026-04-17 15:58:44.207905
e5375c1c-c807-4b76-b446-0ece7b1f806a,CUST-2021-SG-000055,Mary,Torres,Mary Torres,Male,2007-08-23,mary.torres@live.com,(920)755-1574,0033 Phillips Streets Suite 527,North Tara,Arkansas,51965,SG,Singapore,APAC,English,Consumer,None,2021-12-22,2021,RETURNING,True,MDM,2021-12-22 00:00:00,2026-04-17 15:58:44.207907
89d52459-fbdd-4405-9b36-89f0c24d5b60,CUST-2019-SG-000306,Bradley,Willis,Bradley Willis,Female,1965-01-17,bradley.willis770@outlook.com,+1-281-999-2943,011 Williams Ranch,Port Monicaview,Louisiana,62885,SG,Singapore,APAC,English,Consumer,Platinum,2019-05-16,2019,RETURNING,True,MDM,2019-05-16,2026-04-17 15:58:44.207908
